route_id,canonical,primary_query,search_intent,query_owner_scope,priority,title,h1,meta_description,canonical_ok,indexable,in_sitemap,hub_click_depth,contextual_inbound,contextual_outbound,product_links_in_main,primary_product,secondary_product,cta_variant,gsc_clicks_28d,gsc_impressions_28d,gsc_ctr_28d,gsc_position_28d,yandex_clicks_28d,yandex_impressions_28d,yandex_ctr_28d,yandex_position_28d,ga4_organic_sessions_28d,ga4_product_clicks_28d,performance_evidence
"L01","/zhizn/cherez-nado/","жизнь через надо","вернуть собственные желания в жизнь, собранную из обязанностей","узкий supporting URL; не владеет запросами «как понять, чего я хочу» и «как жить для себя»","P1","Жизнь через «надо»: как услышать своё «хочу» | Evolution House","Жизнь через «надо»: как снова услышать своё «хочу»","Почему собственные желания исчезают за бесконечными «надо» и как снова услышать своё «хочу» — без бунта против обязанностей и больших решений.","yes","yes","yes","1","2","3","1","two_week","","desire_back_into_life","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"R01","/arhetipy/persefona/","архетип Персефоны","понять значение и проявления архетипа Персефоны","архетипическая роль; не владеет общим запросом «не знаю, чего хочу»","P2","Архетип Персефоны: как сохранить «хочу» | Evolution House","Архетип Персефоны: как хотеть по-взрослому и не терять лёгкость","Что означает архетип Персефоны в женщине: как сохранить живое желание, перестать ждать чужого решения и самой сделать первый шаг.","yes","yes","yes","1","4","3","2","mentoring","two_week","persephone_grow_desire","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"R02","/arhetipy/afrodita/","архетип Афродиты","понять значение архетипа Афродиты, вкус и собственный выбор","архетипическая роль; общий запрос «как вернуть вкус к жизни» принадлежит L16","P0","Архетип Афродиты в женщине: вкус и выбор | Evolution House","Архетип Афродиты в женщине: вкус и собственный выбор","Что означает архетип Афродиты в женщине: почему чувственность начинается с собственного вкуса и способности выбирать самой, а не с чужого взгляда.","yes","yes","yes","1","3","3","2","mentoring","two_week","aphrodite_taste_as_system","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"R03","/arhetipy/artemida/","архетип Артемиды","понять действие, границы и силу архетипа Артемиды","архетипическая роль; жизненные запросы о перегрузке принадлежат L03 и L12","P2","Архетип Артемиды: действие и сила без перегруза | Evolution House","Архетип Артемиды: сила, которая не заставляет тащить больше","Что означает архетип Артемиды в женщине: почему настоящая сила не заставляет тащить больше, как находить точный шаг и защищать свои границы.","yes","yes","yes","1","3","3","2","mentoring","strength","artemis_strength_without_overload","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"R04","/arhetipy/afina/","архетип Афины","понять стратегию, ясность и тень контроля в архетипе Афины","архетипическая роль и направление; объём спроса требует отдельного обновления","P1","Архетип Афины: стратегия, ясность и путь без контроля | Evolution House","Архетип Афины: как видеть путь и не тащить всё на себе","Что означает архетип Афины в обычной жизни: как видеть направление, менять устаревший план и не превращать ясность в контроль. Объясняет Светлана Страусс.","yes","yes","yes","1","5","3","2","mentoring","strength","athena_rebuild_the_system","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"R05","/arhetipy/gera/","архетип Геры","понять союз, договорённости и общее дело в архетипе Геры","архетипическая роль; практический запрос «всё делаю сама» принадлежит L12","P1","Архетип Геры: союз и договорённости | Evolution House","Архетип Геры: союз, договорённости и общее дело","Что означает архетип Геры: как создавать договорённости, распределять участие и строить семью, дело или союз вместе, а не в одиночку.","yes","yes","yes","1","2","3","1","mentoring","","hera_build_together","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"L03","/zhizn/ustala-byt-silnoy/","устала быть сильной","снизить постоянную мобилизацию и реальный объём нагрузки","нагрузка, отсутствие опоры, упрощение и отмена; полный алгоритм передачи задачи принадлежит L12","P0","Устала быть сильной: что делать, когда всё держится на вас | Evolution House","Устала быть сильной: что делать, когда всё держится на вас","Что делать, если вы устали быть сильной и всё держится на вас: как отличить силу от постоянной мобилизации и передать целую зону ответственности.","yes","yes","yes","1","2","3","2","strength","mentoring","strength_without_carrying_all","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"L05","/zhizn/khoroshaya-devochka/","синдром хорошей девочки","перестать автоматически соглашаться ради одобрения","зависимость выбора от одобрения; техника отказа принадлежит L07","P2","Синдром хорошей девочки: как перестать заслуживать одобрение | Evolution House","Синдром хорошей девочки: как перестать заслуживать одобрение","Что называют синдромом хорошей девочки и как перестать автоматически соглашаться ради одобрения: живая история, пауза перед ответом и собственный выбор.","yes","yes","yes","1","3","3","1","two_week","","choice_without_goodness_exam","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"L04","/zhizn/ne-mogu-rasslabitsya/","не могу расслабиться","понять, почему пауза не начинается, и освободить внутреннее пространство","напряжение в паузе; не владеет медицинским или диагностическим интентом","P2","Не могу расслабиться: что делать при постоянном напряжении | Evolution House","Не могу расслабиться: что делать, когда тело и мысли всё время в напряжении","Что делать, если не получается расслабиться даже в тишине: почему пауза не начинается, как закрыть незавершённые дела и вернуть себе внутреннее пространство.","yes","yes","yes","1","2","3","1","two_week","","pause_without_earning_it","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"L06","/otnosheniya/teryayu-sebya/","теряю себя в отношениях","вернуть собственные желания и границы внутри отношений","самоутрата в паре; не владеет общей темой «живу не свою жизнь»","P2","Теряю себя в отношениях: как вернуть себя и границы | Evolution House","Теряю себя в отношениях: как вернуть свои желания и границы","Что делать, если вы подстраиваетесь под партнёра и перестаёте слышать себя: как отличить компромисс от самоутраты и вернуть в отношения свои желания.","yes","yes","yes","1","3","3","2","mentoring","two_week","self_inside_relationship","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
